entry_time,exit_time,direction,entry_price,exit_price,shares,entry_z,exit_z,duration_bars,gross_pnl,commission,slippage,net_pnl,reconciliation_error,exit_reason
2024-08-22 10:08:00-04:00,2024-08-22 10:25:00-04:00,SHORT,129.01919099999998,129.1123173,155,-1.5409165724109486,0.9436336540365708,17,-6.432500000002079,1.085,8.002076500001465,-15.519576500003545,0.0,TAKE_PROFIT
2024-08-22 11:03:00-04:00,2024-08-22 11:24:00-04:00,LONG,128.97579,127.88941700000001,155,1.9591491584176908,-0.2367005454495232,21,-160.42499999999728,1.085,7.962814999999708,-169.472814999997,0.0,TAKE_PROFIT
2024-08-22 11:33:00-04:00,2024-08-22 12:08:00-04:00,SHORT,127.38461798,126.01459788,157,-2.8835669049288146,0.5630544544000394,35,223.04989999999947,1.099,7.956744299998675,213.99415570000082,0.0,TAKE_PROFIT
2024-08-22 12:25:00-04:00,2024-08-22 12:34:00-04:00,LONG,126.55030500000001,126.4747,158,1.598440833568332,-1.267923881945457,9,-3.950000000000898,1.106,7.995590000000703,-13.051590000001601,0.0,TAKE_PROFIT
2024-08-22 13:03:00-04:00,2024-08-22 13:33:00-04:00,LONG,125.77515,125.32493,159,2.304646185521762,-1.083754642871462,30,-63.600000000000904,1.113,7.984979999999354,-72.69798000000026,0.0,TAKE_PROFIT
2024-08-22 13:44:00-04:00,2024-08-22 14:16:00-04:00,SHORT,125.094976,124.67953092,159,-2.163233557198367,0.37453402746230774,32,73.9986000000004,1.113,7.942832280000744,64.94276771999965,0.0,TAKE_PROFIT
2024-08-22 15:20:00-04:00,2024-08-22 15:46:00-04:00,SHORT,123.980199,123.47469,161,-2.847151302161158,1.864310681384855,26,89.35499999999881,1.127,7.9680509999982405,80.25994900000057,0.0,TAKE_PROFIT
2024-08-22 15:51:00-04:00,2024-08-22 15:56:00-04:00,LONG,123.694734,123.415312,161,0.49568502710411066,-0.4732052591867768,5,-37.03000000000064,1.127,7.956941999998833,-46.113941999999476,0.0,TAKE_PROFIT
2024-08-23 10:50:00-04:00,2024-08-23 10:55:00-04:00,SHORT,127.104574,127.35546599999999,157,-1.082688978913209,1.436557059909804,5,-31.400000000000446,1.099,7.990043999998491,-40.489043999998934,0.0,TAKE_PROFIT
2024-08-23 11:03:00-04:00,2024-08-23 11:11:00-04:00,LONG,127.935582,127.36952099999999,156,1.5850062782047585,0.9803906705031459,8,-80.34000000000009,1.092,7.965516000000662,-89.39751600000075,0.0,TAKE_PROFIT
2024-08-23 11:28:00-04:00,2024-08-23 11:42:00-04:00,LONG,128.605716,128.659263,155,1.1923840505181507,0.020549479641135415,14,16.274999999998414,1.085,7.975214999997036,7.214785000001378,0.0,TAKE_PROFIT
2024-08-23 12:15:00-04:00,2024-08-23 12:21:00-04:00,SHORT,127.334528,127.805556,157,-1.6596564741300863,0.789357800197545,6,-65.94000000000027,1.099,8.011395999998129,-75.0503959999984,0.0,TAKE_PROFIT
2024-08-23 12:46:00-04:00,2024-08-23 13:17:00-04:00,SHORT,127.02459,127.67553000000001,157,-0.9107367149896651,1.2746772051112079,31,-94.20000000000134,1.099,7.9975799999995445,-103.29658000000089,0.0,TAKE_PROFIT
2024-08-23 13:25:00-04:00,2024-08-23 13:39:00-04:00,LONG,128.01559799999998,127.99439600000001,156,2.313231929432749,0.007289798399040064,14,4.680000000002394,1.092,7.987511999998333,-4.399511999995939,0.0,TAKE_PROFIT
2024-08-23 13:50:00-04:00,2024-08-23 13:56:00-04:00,SHORT,128.05438400000003,128.16062699999998,156,-1.360510163461972,1.7299974465054913,6,-8.57999999999663,1.092,7.993907999995486,-17.665907999992115,0.0,TAKE_PROFIT
2024-08-23 14:04:00-04:00,2024-08-23 14:35:00-04:00,LONG,128.42568,128.43430800000002,155,2.383883759195818,-1.2589082650186196,31,9.300000000000352,1.085,7.962659999997896,0.25234000000245516,0.0,TAKE_PROFIT
2024-08-23 14:56:00-04:00,2024-08-23 15:26:00-04:00,SHORT,128.54418601999998,128.815758,155,-1.92291694541028,-0.31808555707691355,30,-34.11550000000034,1.085,7.978156900000357,-43.178656900000696,0.0,TAKE_PROFIT
2024-08-23 15:32:00-04:00,2024-08-23 15:39:00-04:00,SHORT,128.51929099999998,128.645724,155,-3.086170890269312,0.7357739728271357,7,-11.625000000002643,1.085,7.972115000000457,-20.6821150000031,0.0,TAKE_PROFIT
2024-08-23 15:46:00-04:00,2024-08-23 15:47:00-04:00,LONG,128.36846856,128.21435200000002,155,0.47770344163049716,-1.0924823195808404,1,-15.93400000000031,1.085,7.954066799996156,-24.973066799996467,0.0,TAKE_PROFIT
2024-08-23 15:54:00-04:00,2024-08-23 15:56:00-04:00,LONG,128.94578399999997,128.934208,155,2.4457457906761646,2.72572740622336,2,6.200000000003172,1.085,7.99427999999736,-2.8792799999941883,0.0,TAKE_PROFIT
2024-08-26 09:56:00-04:00,2024-08-26 10:26:00-04:00,SHORT,129.159163,127.820559,154,-1.808108698926972,0.24036637692432872,30,214.0600000000001,1.078,7.914983999999521,205.06701600000056,0.0,TAKE_PROFIT
2024-08-26 10:33:00-04:00,2024-08-26 10:47:00-04:00,SHORT,125.994796,126.08591213999999,158,-1.6254557271288101,0.024233264864263773,14,-6.430600000000169,1.106,7.965750119999342,-15.50235011999951,0.0,TAKE_PROFIT
2024-08-26 11:26:00-04:00,2024-08-26 11:46:00-04:00,LONG,127.23544199999999,126.684658,157,1.7653057749626546,-1.2863031855864744,20,-78.5,1.099,7.97308799999891,-87.57208799999891,0.0,TAKE_PROFIT
2024-08-26 12:45:00-04:00,2024-08-26 12:53:00-04:00,LONG,127.42548000000001,127.099575,156,1.710827444020198,-1.9455128751791304,8,-42.90000000000089,1.092,7.941180000000031,-51.93318000000092,0.0,TAKE_PROFIT
2024-08-26 12:58:00-04:00,2024-08-26 13:23:00-04:00,SHORT,126.97460000000001,126.745344,157,-1.5070401068639043,0.09970976451603916,25,43.96000000000018,1.099,7.966807999999148,34.894192000001034,0.0,TAKE_PROFIT
2024-08-26 13:52:00-04:00,2024-08-26 14:05:00-04:00,LONG,126.04020299999999,125.584878,158,1.2700110286512756,-1.3330992235627395,13,-63.99000000000018,1.106,7.951349999997888,-73.04734999999806,0.0,TAKE_PROFIT
2024-08-26 15:01:00-04:00,2024-08-26 15:08:00-04:00,LONG,126.85066506,126.639667,157,1.0238832936971123,1.0579767395423152,7,-25.167099999998797,1.099,7.959595420000312,-34.22569541999911,0.0,TAKE_PROFIT
2024-08-26 15:13:00-04:00,2024-08-26 15:17:00-04:00,LONG,126.92447982,126.57967900000001,157,1.1984297815164786,-0.36037727027742106,4,-46.17370000000004,1.099,7.960028739998236,-55.23272873999827,0.0,TAKE_PROFIT
2024-08-26 15:46:00-04:00,2024-08-26 15:49:00-04:00,SHORT,126.23974700000001,126.415278,158,-1.4567442039442318,1.6718497162544972,3,-19.75,1.106,7.9838979999987885,-28.83989799999879,0.0,TAKE_PROFIT
2024-08-26 15:52:00-04:00,2024-08-26 15:56:00-04:00,LONG,126.695334,126.394716,157,1.5969072473600079,-0.5333059641595745,4,-39.25,1.099,7.947026000000008,-48.296026000000005,0.0,TAKE_PROFIT
2024-08-27 09:57:00-04:00,2024-08-27 10:09:00-04:00,LONG,126.96258744000001,126.23474800000001,157,1.7546286793873478,0.17316176182427884,12,-106.32039999999986,1.099,7.950392079999631,-115.3697920799995,0.0,TAKE_PROFIT
2024-08-27 10:41:00-04:00,2024-08-27 11:22:00-04:00,LONG,127.77555,128.21435200000002,156,1.5680131075110217,-0.2972785827734896,41,76.44000000000142,1.092,7.986887999997691,67.36111200000373,0.0,TAKE_PROFIT
2024-08-27 11:42:00-04:00,2024-08-27 11:46:00-04:00,SHORT,127.64506587999999,127.915578,156,-1.442748763033782,1.0970811261074398,4,-34.22640000000115,1.092,7.973490719999859,-43.29189072000101,0.0,TAKE_PROFIT
2024-08-27 12:18:00-04:00,2024-08-27 12:26:00-04:00,SHORT,127.869421,128.0666082,156,-1.892661010604215,0.021426271197792852,8,-22.776000000000124,1.092,7.9852031999979545,-31.853203199998077,0.0,TAKE_PROFIT
2024-08-27 12:37:00-04:00,2024-08-27 12:54:00-04:00,LONG,128.44568399999997,128.2233502,155,1.9555857932727154,-0.6183965231739031,17,-26.5049999999988,1.085,7.956738999996986,-35.54673899999579,0.0,TAKE_PROFIT
2024-08-27 13:07:00-04:00,2024-08-27 13:30:00-04:00,LONG,128.49309348,128.78353814000002,155,2.4019072483471073,-0.7710750119610245,23,52.994500000001494,1.085,7.975577699998411,43.93392230000308,0.0,TAKE_PROFIT
